WBGeneID,Public_name
WBGene00001795,gtl-1
WBGene00001804,gur-3
WBGene00001808,gut-2
WBGene00001814,haf-4
WBGene00001819,haf-9
WBGene00001823,hap-1
WBGene00001834,hda-1
WBGene00001835,hda-2
WBGene00001836,hda-3
WBGene00001851,hif-1
WBGene00001854,hil-3
WBGene00001855,hil-4
WBGene00001898,his-24
WBGene00001959,hlh-15
WBGene00001972,hmg-1.2
WBGene00001976,hmg-11
WBGene00001984,hog-1
WBGene00001993,hpd-1
WBGene00002002,hsb-1
WBGene00002007,hsp-3
WBGene00002008,hsp-4
WBGene00002011,hsp-12.2
WBGene00002015,hsp-16.1
WBGene00002017,hsp-16.11
WBGene00002020,hsp-16.49
WBGene00002021,hsp-17
WBGene00002023,hsp-25
WBGene00002043,hyl-1
WBGene00002045,icd-1
WBGene00002046,icln-1
WBGene00002054,ifb-2
WBGene00002055,ifc-1
WBGene00002056,ifc-2
WBGene00002057,ifd-1
WBGene00002058,ifd-2
WBGene00002060,ife-2
WBGene00002064,iff-1
WBGene00002067,ifp-1
WBGene00002090,ins-7
WBGene00002094,ins-11
WBGene00002095,ins-12
WBGene00002116,ins-33
WBGene00002118,ins-35
WBGene00002124,inx-2
WBGene00002137,inx-15
WBGene00002138,inx-16
WBGene00002139,inx-17
WBGene00002174,itx-1
WBGene00002183,kat-1
WBGene00002187,kgb-1
WBGene00002188,kgb-2
WBGene00002222,klp-11
WBGene00002234,kqt-2
WBGene00002241,kup-1
WBGene00002247,lam-1
WBGene00002248,lam-3
WBGene00002250,lap-2
WBGene00002253,lbp-1
WBGene00002254,lbp-2
WBGene00002255,lbp-3
WBGene00002257,lbp-5
WBGene00002258,lbp-6
WBGene00002259,lbp-7
WBGene00002260,lbp-8
WBGene00002269,lec-6
WBGene00002271,lec-8
WBGene00002272,lec-9
WBGene00002273,lec-10
WBGene00002274,lec-11
WBGene00002282,let-4
WBGene00002344,let-70
WBGene00002632,let-413
WBGene00002850,let-716
WBGene00002855,let-721
WBGene00002957,let-858
WBGene00002980,lgg-1
WBGene00002981,lgg-2
WBGene00002982,lgg-3
WBGene00002998,lin-9
WBGene00003008,lin-22
