WBGeneID,elt2_detected_in_L1,dineen_set,cluster.description,bound_class
WBGene00017667,Direct,SET3,Increasing,ClassB
WBGene00017673,Indirect,SET1,Not_Bound,NA
WBGene00017674,Indirect,SET2,Not_Bound,NA
WBGene00017678,Direct,SET3,Larval,ClassC
WBGene00017679,Indirect,SET3,Not_Bound,NA
WBGene00017680,Indirect,SET4,Not_Bound,NA
WBGene00017687,Direct,SET3,Increasing,ClassB
WBGene00017687,Direct,SET3,Increasing,ClassB
WBGene00017687,Direct,SET3,Increasing,ClassB
WBGene00017687,Direct,SET3,Larval,ClassB
WBGene00017691,Direct,SET6,Increasing,ClassA
WBGene00017691,Direct,SET6,Increasing,ClassA
WBGene00017691,Direct,SET6,Increasing,ClassA
WBGene00017691,Direct,SET6,Larval,ClassA
WBGene00017696,Indirect,SET2,Not_Bound,NA
WBGene00017703,Indirect,SET2,Not_Bound,NA
WBGene00017705,Indirect,SET2,Not_Bound,NA
WBGene00017717,Indirect,SET6,Not_Bound,NA
