WBGeneID,elt2_detected_in_L1,dineen_set,cluster.description,bound_class
WBGene00015398,Indirect,SET2,Not_Bound,NA
WBGene00015400,Direct,SET3,Increasing,ClassB
WBGene00015403,Direct,SET6,Larval,ClassA
WBGene00015404,Indirect,SET2,L3_High,NA
WBGene00015434,Indirect,SET6,Not_Bound,NA
WBGene00015455,Indirect,SET2,Not_Bound,NA
WBGene00015456,Indirect,SET2,L3_High,NA
WBGene00015469,Direct,SET6,Increasing,ClassA
WBGene00015471,Direct,SET6,Increasing,ClassB
WBGene00015472,Indirect,SET2,Not_Bound,NA
WBGene00015479,Indirect,SET3,Larval,NA
WBGene00015504,Indirect,SET2,Not_Bound,NA
WBGene00015505,Indirect,SET2,Not_Bound,NA
WBGene00015514,Indirect,SET6,Not_Bound,NA
WBGene00015518,Indirect,SET2,Not_Bound,NA
WBGene00015531,Indirect,SET1,Larval,NA
WBGene00015557,Indirect,SET2,Not_Bound,NA
WBGene00015560,Indirect,SET1,Not_Bound,NA
WBGene00015561,Direct,SET2,Increasing,ClassC
WBGene00015565,Direct,SET5,Increasing,ClassA
WBGene00015568,Indirect,SET6,Not_Bound,NA
WBGene00015574,Indirect,SET2,Not_Bound,NA
WBGene00015578,Indirect,SET2,Increasing,NA
WBGene00015583,Indirect,SET1,Not_Bound,NA
WBGene00015590,Indirect,SET2,Not_Bound,NA
WBGene00015591,Indirect,SET2,Not_Bound,NA
WBGene00015598,Direct,SET3,Larval,ClassC
WBGene00015598,Direct,SET3,Increasing,ClassC
WBGene00015598,Direct,SET3,Larval,ClassC
WBGene00015601,Indirect,SET6,Not_Bound,NA
WBGene00015602,Direct,SET3,Increasing,ClassB
WBGene00015605,Direct,SET1,Increasing,ClassD
WBGene00015605,Direct,SET1,Larval,ClassD
WBGene00015608,Direct,SET3,Increasing,ClassB
WBGene00015609,Indirect,SET6,Increasing,NA
WBGene00015622,Indirect,SET2,Not_Bound,NA
WBGene00015626,Indirect,SET6,Not_Bound,NA
WBGene00015631,Indirect,SET2,Not_Bound,NA
WBGene00015644,Indirect,SET2,Not_Changing,NA
WBGene00015645,Indirect,SET1,Not_Bound,NA
WBGene00015651,Indirect,SET2,Not_Bound,NA
WBGene00015660,Indirect,SET5,Not_Bound,NA
WBGene00015666,Indirect,SET2,Not_Bound,NA
WBGene00015667,Indirect,SET2,Not_Bound,NA
WBGene00015677,Direct,SET2,Increasing,ClassD
WBGene00015687,Direct,SET2,Not_Changing,ClassD
WBGene00015687,Direct,SET2,Embryo_Specific,ClassD
WBGene00015687,Direct,SET2,Increasing,ClassD
WBGene00015693,Direct,SET1,Increasing,ClassD
WBGene00015695,Direct,SET2,L3_High,ClassD
WBGene00015698,Indirect,SET2,Not_Bound,NA
WBGene00015701,Direct,SET2,Increasing,ClassC
WBGene00015713,Direct,SET3,Increasing,ClassB
WBGene00015713,Direct,SET3,Increasing,ClassB
WBGene00015713,Direct,SET3,Larval,ClassB
WBGene00015718,Indirect,SET3,Not_Bound,NA
WBGene00015728,Direct,SET6,Larval,ClassA
WBGene00015729,Indirect,SET6,Not_Bound,NA
WBGene00015752,Indirect,SET2,Increasing,NA
WBGene00015752,Indirect,SET2,L3_High,NA
WBGene00015756,Indirect,SET6,Increasing,NA
WBGene00015759,Direct,SET6,Larval,ClassA
WBGene00015768,Direct,SET6,Increasing,ClassA
WBGene00015768,Direct,SET6,Increasing,ClassA
WBGene00015783,Direct,SET6,Increasing,ClassA
WBGene00015784,Direct,SET6,Larval,ClassA
WBGene00015786,Indirect,SET1,L3_High,NA
WBGene00015788,Indirect,SET1,Not_Bound,NA
WBGene00015789,Direct,SET6,Larval,ClassA
WBGene00015794,Indirect,SET6,Not_Bound,NA
WBGene00015800,Direct,SET2,L3_High,ClassD
WBGene00015800,Direct,SET2,L3_High,ClassD
WBGene00015805,Indirect,SET2,Not_Bound,NA
WBGene00015817,Indirect,SET2,Not_Bound,NA
WBGene00015818,Indirect,SET2,Not_Bound,NA
WBGene00015819,Indirect,SET2,Not_Bound,NA
WBGene00015823,Direct,SET2,Increasing,ClassD
WBGene00015823,Direct,SET2,Increasing,ClassD
WBGene00015829,Direct,SET3,Larval,ClassC
WBGene00015842,Indirect,SET2,Not_Bound,NA
WBGene00015849,Indirect,SET2,Not_Bound,NA
WBGene00015850,Indirect,SET2,Not_Bound,NA
WBGene00015852,Indirect,SET2,Not_Bound,NA
WBGene00015853,Indirect,SET2,Not_Bound,NA
WBGene00015857,Indirect,SET6,Not_Bound,NA
WBGene00015859,Indirect,SET3,Not_Bound,NA
WBGene00015864,Indirect,SET6,Not_Bound,NA
WBGene00015878,Indirect,SET6,Not_Bound,NA
WBGene00015889,Direct,SET6,Larval,ClassA
WBGene00015902,Indirect,SET6,Not_Bound,NA
WBGene00015913,Direct,SET3,L3_High,ClassB
WBGene00015913,Direct,SET3,Larval,ClassB
WBGene00015921,Indirect,SET6,Not_Bound,NA
WBGene00015928,Direct,SET2,L3_High,ClassC
WBGene00015930,Indirect,SET2,Not_Bound,NA
WBGene00015932,Indirect,SET6,Not_Bound,NA
WBGene00015933,Direct,SET6,Increasing,ClassA
WBGene00015947,Direct,SET3,Increasing,ClassC
WBGene00015949,Indirect,SET3,L3_High,NA
WBGene00015955,Direct,SET2,Increasing,ClassD
WBGene00015956,Direct,SET3,Increasing,ClassB
WBGene00015956,Direct,SET3,Increasing,ClassB
WBGene00015956,Direct,SET3,Larval,ClassB
WBGene00015966,Indirect,SET2,Not_Bound,NA
WBGene00015968,Indirect,SET2,Increasing,NA
WBGene00015984,Indirect,SET2,Not_Bound,NA
WBGene00015988,Direct,SET1,Increasing,ClassD
WBGene00016004,Direct,SET6,Larval,ClassB
WBGene00016004,Direct,SET6,Increasing,ClassB
WBGene00016027,Direct,SET6,Increasing,ClassA
WBGene00016028,Indirect,SET6,Not_Bound,NA
WBGene00016030,Indirect,SET2,Increasing,NA
WBGene00016048,Direct,SET6,Increasing,ClassA
WBGene00016048,Direct,SET6,Larval,ClassA
WBGene00016052,Direct,SET6,Larval,ClassA
WBGene00016061,Direct,SET6,L3_High,ClassB
WBGene00016061,Direct,SET6,Larval,ClassB
WBGene00016061,Direct,SET6,Increasing,ClassB
WBGene00016061,Direct,SET6,Increasing,ClassB
WBGene00016063,Indirect,SET2,Not_Bound,NA
WBGene00016064,Direct,SET2,Increasing,ClassC
WBGene00016064,Direct,SET2,Increasing,ClassC
WBGene00016066,Direct,SET3,Larval,ClassC
WBGene00016074,Direct,SET2,Increasing,ClassD
WBGene00016088,Indirect,SET1,Not_Bound,NA
WBGene00016092,Indirect,SET2,Not_Bound,NA
WBGene00016097,Indirect,SET2,Not_Bound,NA
WBGene00016099,Indirect,SET2,Not_Bound,NA
WBGene00016111,Direct,SET1,Larval,ClassD
WBGene00016124,Indirect,SET2,L3_High,NA
WBGene00016134,Direct,SET6,Increasing,ClassA
WBGene00016151,Indirect,SET2,Not_Bound,NA
WBGene00016156,Indirect,SET2,Increasing,NA
WBGene00016163,Indirect,SET2,Not_Bound,NA
WBGene00016164,Indirect,SET2,Not_Bound,NA
WBGene00016169,Indirect,SET2,Not_Bound,NA
