Gene,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
C49C3.1,34.5497695,-6.597064086,-6.900482541,1.122994795,-5.607384925,2.05E-08,4.63E-08
F55F3.3,1952.481056,2.481659986,2.482747815,0.115862973,18.8296566,4.32E-79,4.98E-78
C49C3.11,2.077358651,-1.176524413,-1.283240916,1.494668836,-0.586433859,0.557583996,0.61902399
C49C3.13,1.34571665,-2.502823643,-3.197981127,2.313084203,-0.9523318,0.340928735,0.393544723
F40F8.5,3773.875125,3.878498203,3.883095834,0.190366164,18.79797396,7.85E-79,9.02E-78
F45D11.15,325.7571673,4.95228581,4.962214169,0.247667059,18.78443514,1.01E-78,1.16E-77
F59A7.1,541.1029007,7.615357766,7.654194767,0.389522083,18.78034156,1.09E-78,1.25E-77
C49C3.6,247.8932144,-3.247554214,-3.251706546,0.197813223,-14.90069354,3.26E-50,2.22E-49
C49C3.7,248.8108259,-3.804500469,-3.810682971,0.223183334,-15.70233944,1.46E-55,1.12E-54
C49C3.8,18.72310844,-1.143348174,-1.153028837,0.506252569,-1.665864484,0.095740409,0.123052256
D2021.2,479.0231669,2.367510647,2.368448984,0.110194364,18.76239927,1.53E-78,1.76E-77
C49C8.1,3.502055246,0.538126898,0.572994595,1.309061579,0.181906567,0.855656051,0.918621458
F01D5.3,282.3730224,6.773807988,6.800607334,0.345215436,18.75295052,1.83E-78,2.09E-77
C49C8.3,16.44852895,-4.206693672,-4.342303285,0.948558486,-4.118558558,3.81E-05,7.01E-05
W05E10.1,396.865381,4.986663585,4.996818144,0.249933629,18.75163257,1.88E-78,2.15E-77
W01A8.1,8449.693295,2.069513351,2.070116592,0.094533155,18.71844179,3.50E-78,3.99E-77
C49D10.11,1.640035516,-2.816737713,-3.479161563,2.200546051,-1.143687819,0.252753127,0.299214338
C49F5.1,1858.187667,-1.214936136,-1.217330065,0.245282067,-3.730138728,0.000191374,0.000332919
VZK822L.1,25556.52555,5.069066422,5.079852505,0.254895869,18.70986157,4.11E-78,4.68E-77
C49F5.3,54.28852471,-5.982890506,-6.126612329,0.821939069,-6.914004598,4.71E-12,1.25E-11
C49F5.6,172.5246941,-7.264549878,-7.38995217,0.702477147,-9.914272528,3.61E-23,1.35E-22
C49F5.7,66.56552604,-3.497605063,-3.521500987,0.454577861,-7.034229637,2.00E-12,5.41E-12
C49F5.8,2.458829989,0.281772623,0.297562826,1.251660481,0,1,1
F22F7.1,7736.971713,2.57031081,2.571552475,0.121655204,18.6618471,1.01E-77,1.15E-76
C49F8.2,98.64054139,0.287538192,0.28807617,0.239383157,0,1,1
C49F8.3,5.554621205,-3.902144169,-4.185929734,1.342109148,-2.683942788,0.007275956,0.010885323
E02H9.3,1012.841372,2.41313937,2.414152379,0.113399297,18.63450149,1.69E-77,1.91E-76
F52E4.8,400.0485231,3.30315214,3.305964946,0.161301298,18.6182763,2.28E-77,2.58E-76
H28G03.1,1322.859081,2.260765478,2.261584217,0.105319653,18.61728013,2.33E-77,2.63E-76
C49G7.3,220.3231806,-1.78583458,-1.798853598,0.471154391,-3.153604439,0.001612675,0.002580352
F32A5.3,1784.96534,3.602401139,3.606113049,0.177517787,18.60321266,3.03E-77,3.41E-76
C09E8.1,575.4748731,2.738855074,2.740396266,0.131186494,18.59074819,3.82E-77,4.30E-76
T27A1.5,406.6936376,4.044202563,4.049594711,0.201647081,18.56809705,5.82E-77,6.55E-76
Y45F3A.3,1183.753401,2.234391546,2.235183775,0.104243246,18.55651689,7.22E-77,8.11E-76
C49G9.1,10.47650548,0.127492931,0.129555279,0.696507434,0,1,1
C49G9.2,2.10501108,-1.473408879,-1.590591547,1.402377658,-0.836728161,0.402745386,0.4585316
C49H3.1,4.065449541,1.239980873,1.290733993,1.071302401,0.877418806,0.380259202,0.434636269
C49H3.10,768.7381229,-1.369661919,-1.370563668,0.142222285,-7.521057026,5.43E-14,1.55E-13
F35B12.2,573.4148467,5.04305795,5.053891866,0.255687236,18.55023358,8.12E-77,9.10E-76
C49H3.12,1.466406185,-1.971959638,-2.182082814,1.690646842,-0.988946713,0.322689214,0.374313274
C49H3.3,292.1119187,-2.395181608,-2.397875856,0.185271396,-11.30871606,1.19E-29,5.20E-29
C49H3.4,79.11939529,-1.479850865,-1.483170981,0.261144151,-4.518006098,6.24E-06,1.21E-05
C49H3.5,921.0065816,-0.505922418,-0.506135206,0.113569818,-1.813179079,0.069804206,0.091839949
C49H3.6,218.7879698,-5.761280156,-5.792386936,0.401938272,-13.5873604,4.76E-42,2.73E-41
C49H3.8,242.424784,-0.763328976,-0.763957644,0.158480284,-2.923574875,0.00346037,0.005355387
C49H3.9,305.1482025,-1.425115511,-1.426174684,0.150898614,-7.456102343,8.91E-14,2.53E-13
C50A2.2,219.7701365,-3.498685556,-3.506296557,0.256691064,-12.46122675,1.21E-35,6.14E-35
C25A11.4,1947.801388,2.689490831,2.69094956,0.128853765,18.54420652,9.08E-77,1.02E-75
C50B6.14,11.71441392,1.016979164,1.036341331,0.746114817,0.960950175,0.33657722,0.388956395
C50B6.2,4777.015612,-7.966654661,-7.977493387,0.204151333,-37.55378205,0,0
C50B6.3,500.5844921,-4.003429981,-4.007328154,0.172885136,-21.42133248,8.45E-102,1.39E-100
C50B6.4,2.793208677,0.989762138,1.063801466,1.401914441,0.492014432,0.622709141,0.685920963
F34H10.3,472.4669148,3.151232682,3.153665936,0.153810447,18.53731484,1.03E-76,1.16E-75
C50B6.8,24.73924977,0.878681349,0.885334679,0.476693941,1.213947354,0.224767828,0.268880793
C50B6.9,6.229939515,-1.91118341,-1.970793303,0.946936842,-1.701468712,0.088855008,0.114917766
Y22F5A.1,215.9110697,4.667855887,4.676371703,0.235743623,18.52799165,1.23E-76,1.37E-75
C50B8.2,146.3415032,-4.870478122,-4.896273451,0.396253563,-11.53422592,8.87E-31,4.00E-30
C50B8.3,190.4860529,-0.252325808,-0.252619596,0.18880181,0,1,1
Y113G7B.14,284.1779716,4.265535644,4.271957892,0.214068643,18.52459842,1.31E-76,1.46E-75
C45E1.1,231.230304,3.603188741,3.606932378,0.178390138,18.51665557,1.52E-76,1.69E-75
T08B1.3,371.753423,4.353349478,4.360220864,0.218904838,18.51649104,1.52E-76,1.69E-75
C50C3.1,196.8602535,-7.817273649,-7.990786586,0.785198511,-9.573723773,1.03E-21,3.71E-21
C50C3.2,4.815472899,-3.593385825,-3.958816917,1.528435121,-2.15474362,0.031181902,0.043191027
C50C3.5,5.78678168,-2.517581899,-2.63975163,1.146644499,-1.93397509,0.053116191,0.071254438
C50C3.6,2734.45802,-2.111956101,-2.112664051,0.101315343,-17.88432086,1.56E-71,1.59E-70
C50C3.7,375.3707256,0.235972015,0.236122462,0.139844985,0,1,1
C50C3.8,1028.795418,-1.800799314,-1.801465163,0.10641749,-14.10293851,3.64E-45,2.23E-44
C50C3.9,18.05276258,-6.582328999,-6.932600764,1.213323538,-5.177785481,2.25E-07,4.77E-07
C50D2.1,5.786939334,1.509080652,1.549278188,0.87579317,1.380555014,0.167415823,0.206315886
C50D2.10,26.67473033,-1.330760619,-1.339852942,0.453625091,-2.27227426,0.02306995,0.032477638
C50D2.2,3.49378166,-1.784080186,-1.873276152,1.177207685,-1.260678303,0.207424774,0.250287714
C50D2.4,4.66690686,-4.633852147,-4.977868668,1.40731163,-3.079525568,0.002073306,0.003279993
C50D2.5,267.1269868,-1.281100881,-1.282063669,0.151438257,-6.478553708,9.26E-11,2.34E-10
C50D2.6,31.15443858,-3.405418453,-3.451505526,0.643382742,-4.82670462,1.39E-06,2.81E-06
R04E5.10,336.5507756,3.994082955,3.999266237,0.199683126,18.4997252,2.08E-76,2.30E-75
C50D2.8,249.0191005,-1.919211356,-1.920828524,0.160637784,-10.07989101,6.78E-24,2.58E-23
C50D2.9,203.5103807,-1.409465771,-1.410790306,0.169721861,-6.536964428,6.28E-11,1.59E-10
C50E10.1,3.408357637,-3.944566965,-4.520551683,1.861637176,-1.957721414,0.050262711,0.067669082
C50E10.4,288.7599152,0.196008814,0.196147102,0.147015766,0,1,1
C50E3.11,114.3028446,-5.386519775,-5.429561336,0.486693808,-10.45117011,1.45E-25,5.73E-25
C50E3.12,86.25127169,-7.868279856,-8.22462295,1.100653783,-6.876167574,6.15E-12,1.62E-11
C50E3.13,165.0631401,-8.776123261,-9.163556906,1.086644448,-7.80027292,6.18E-15,1.82E-14
Y53F4B.2,348.5027296,3.146044427,3.14847973,0.153844822,18.49944894,2.09E-76,2.31E-75
C50E3.5,206.6628613,-3.287844111,-3.293017524,0.21953512,-13.60986846,3.50E-42,2.01E-41
C50E3.6,5.434801619,-3.945394845,-4.192799229,1.323396043,-2.754575898,0.005876826,0.008869222
C50F2.2,586.7690999,-4.567350524,-4.572331096,0.18245007,-23.38914155,5.51E-121,1.18E-119
C50F2.3,560.326806,-2.737042002,-2.738707828,0.136577638,-17.84363853,3.24E-71,3.29E-70
C50F2.4,44.24656122,-7.85061364,-8.228131313,1.15876355,-6.516095227,7.22E-11,1.83E-10
C50F2.5,2.881198113,-3.751619517,-4.277165634,1.831168325,-1.884927492,0.059439628,0.079161582
C50F2.6,74.91788193,-8.567798245,-8.986742704,1.167610961,-7.080952919,1.43E-12,3.88E-12
C50F2.7,2.376266211,-2.713974801,-2.945764147,1.533736991,-1.57391705,0.115506628,0.146477925
C50F2.8,2.736739089,-3.838149019,-4.205584106,1.569239245,-2.254690628,0.024152754,0.033919429
R10E11.2,10196.40741,1.918939942,1.919419529,0.087524847,18.49691825,2.19E-76,2.42E-75
C50F4.10,2.127430456,-0.460438586,-0.52305853,1.807450978,-0.088765111,0.929268586,0.991174121
C50F4.11,873.0686332,-0.543453475,-0.543728997,0.124525482,-1.955049451,0.050577234,0.068054504
C50F4.12,149.281285,-1.658776073,-1.661629879,0.230143281,-5.904044066,3.55E-09,8.32E-09
B0213.15,1213.417146,6.541176631,6.565843976,0.337530802,18.49068766,2.45E-76,2.72E-75
C50F4.14,612.7580572,0.428485976,0.428635744,0.1034396,1.242135271,0.214186657,0.257586981
C50F4.16,325.6010381,0.006032698,0.006036085,0.13226849,0,1,1
C50F4.2,6.803405792,0.424976804,0.442463117,1.072028224,0.11657977,0.90719307,0.969630916
C50F4.4,37.37502228,-2.046353213,-2.057346534,0.405263099,-4.309183879,1.64E-05,3.09E-05
F01D5.9,1420.364491,5.0136514,5.024369564,0.255037546,18.48218613,2.87E-76,3.18E-75
C50F4.6,187.9661976,0.163303027,0.163671713,0.262616265,0,1,1
H06I04.6,462.5329848,3.487554015,3.490959337,0.172507362,18.47778539,3.12E-76,3.44E-75
C50F4.8,14.97385629,-4.584726412,-4.779723047,1.066781544,-4.016498443,5.91E-05,0.000107141
C25F9.5,226.8108875,4.473969173,4.481393843,0.225908981,18.47633126,3.20E-76,3.53E-75
C50F7.1,1.661622955,-2.168770648,-2.371800578,1.596748986,-1.17035969,0.24185625,0.287373247
D1037.2,740.9340283,2.966953408,2.968974595,0.144465022,18.46089368,4.26E-76,4.69E-75
F37H8.3,208.6299996,6.013483164,6.032594092,0.309521629,18.45907565,4.41E-76,4.85E-75
C50F7.4,608.0819329,-4.386680442,-4.391228708,0.178152066,-22.93928175,1.89E-116,3.79E-115
C44B7.8,930.5518698,3.516721603,3.520224429,0.17453164,18.43059289,7.47E-76,8.18E-75
C50F7.6,13.8336936,-3.579135534,-3.66678475,0.84107353,-3.898750131,9.67E-05,0.000172501
T23H4.2,332.5080712,3.165100876,3.167603579,0.155500906,18.42497869,8.28E-76,9.07E-75
M163.1,421.6400216,3.703774628,3.707916784,0.184976247,18.40114433,1.29E-75,1.41E-74
C47B2.8,378.5162918,3.95251773,3.95761758,0.198787268,18.37400231,2.12E-75,2.31E-74
F52A8.5,863.6294073,2.208361099,2.209138607,0.103868381,18.37287812,2.17E-75,2.36E-74
C50H2.2,1.598441345,-1.305170072,-1.447640541,1.711635851,-0.587256963,0.55703114,0.618457704
C50H2.3,5.066938379,-4.74789893,-5.101176401,1.409136291,-3.156471775,0.001596903,0.002556248
W01A11.3,777.3372824,2.299455598,2.300346691,0.10890248,18.36005571,2.74E-75,2.98E-74
C51E3.6,23.94847433,-6.080651303,-6.369662146,1.144186585,-5.052192866,4.37E-07,9.13E-07
C51E3.7,165.8266884,-5.511684804,-5.55089423,0.467029442,-11.1592211,6.46E-29,2.77E-28
C51E3.9,42.5414199,-7.782336032,-8.16934931,1.176597687,-6.359298606,2.03E-10,5.04E-10
C50F7.5,693.3123395,7.067208951,7.098949609,0.368716955,18.35339783,3.10E-75,3.37E-74
Y42G9A.1,211.4869949,4.58690702,4.595150974,0.233698086,18.34378321,3.70E-75,4.01E-74
C06H5.2,180.5263706,4.577699801,4.585863952,0.233199476,18.34352236,3.72E-75,4.03E-74
C52A10.3,8.009106831,-5.411187225,-5.767949738,1.336350522,-3.824735456,0.000130913,0.000230709
C52A11.4,64.25723089,-6.192264799,-6.346873623,0.831846241,-7.083358088,1.41E-12,3.82E-12
ZK455.1,4125.891581,2.500643229,2.501819228,0.120031104,18.33394139,4.44E-75,4.80E-74
C52B11.3,22.45683277,-5.949703299,-6.262325742,1.173462922,-4.814556295,1.48E-06,2.98E-06
C52B11.4,7.261711487,-3.031197515,-3.144329243,1.030104464,-2.651379167,0.008016379,0.011927633
F40F9.9,306.3433147,3.578133712,3.581891728,0.179052896,18.30818596,7.12E-75,7.68E-74
C52B9.1,9.706408145,-3.449142425,-3.562666924,0.964891277,-3.263727739,0.001099568,0.001787447
C29F3.7,2249.534697,4.240715425,4.247151507,0.215256513,18.30706708,7.27E-75,7.83E-74
K10B3.8,8086.348,2.961507345,2.963551526,0.145381778,18.30702156,7.27E-75,7.83E-74
B0403.3,240.5403965,4.709630709,4.718632803,0.240979591,18.29877247,8.46E-75,9.10E-74
H24K24.3,2539.559982,2.076742652,2.077382305,0.097156521,18.2874257,1.04E-74,1.12E-73
B0303.3,2231.982162,1.588544491,1.588802055,0.070517809,18.27261096,1.37E-74,1.47E-73
K03A1.5,4430.028719,2.742364158,2.743964665,0.133710571,18.26605131,1.54E-74,1.65E-73
C52B9.8,375.2288671,-0.268148631,-0.268327023,0.142643864,0,1,1
C52B9.9,8.248109667,-0.686329408,-0.698688025,0.734080117,-0.526276899,0.598695831,0.661364939
C34E11.1,760.3980279,2.187894292,2.188657134,0.103371163,18.2632587,1.62E-74,1.74E-73
C52D10.11,16.46296716,-4.781635375,-4.968770288,1.03750556,-4.319625404,1.56E-05,2.95E-05
C34C6.6,423.1528836,3.526556682,3.530139426,0.176693014,18.26080503,1.70E-74,1.81E-73
C52B9.4,893.9135428,2.094143767,2.094805826,0.098451666,18.22359995,3.35E-74,3.58E-73
F49H12.6,2340.013808,2.589777808,2.591113442,0.125751766,18.20871297,4.40E-74,4.69E-73
C52D10.6,93.74483849,1.08328258,1.094247732,0.552427066,1.4178932,0.156221948,0.193577042
C52D10.7,41.75584473,-6.787234703,-7.170011131,1.203263324,-5.391367435,6.99E-08,1.53E-07
C52D10.8,41.96620304,-1.301868496,-1.314743069,0.547562817,-1.829686869,0.067296776,0.088791457
C52D10.9,57.18915118,-7.261649634,-7.635150549,1.190699723,-5.846687878,5.01E-09,1.17E-08
C52E12.1,1109.201488,-0.196834299,-0.196932899,0.123803721,0,1,1
C52E12.2,53.99739922,-5.310127399,-5.401533612,0.712566349,-7.031103004,2.05E-12,5.53E-12
C52E12.3,257.6331851,-4.162302219,-4.171288782,0.255555277,-15.11337298,1.32E-51,9.30E-51
C52E12.4,636.8056448,-1.144988103,-1.145743205,0.142090612,-5.946825713,2.73E-09,6.44E-09
C53A5.1,3863.237321,1.450002389,1.45019115,0.063180161,18.20195411,4.98E-74,5.29E-73
C52E2.1,5.269329181,-4.777313469,-5.160260658,1.455990398,-3.075098212,0.002104332,0.003327257
W09D10.4,1567.873172,1.763169387,1.763541389,0.080441529,18.1892289,6.28E-74,6.67E-73
R12H7.3,452.7959135,3.013522801,3.015711198,0.149203418,18.18673355,6.57E-74,6.97E-73
C52E2.6,5.32611891,-2.050535285,-2.137177966,1.093244169,-1.601229931,0.109326002,0.139128187
C52E2.7,7.207910533,-2.921236966,-3.125539166,1.360819173,-1.926219896,0.054076923,0.072453354
F52H2.6,902.8778405,3.361041611,3.364164623,0.168521893,18.16405907,9.94E-74,1.05E-72
K08H10.4,2109.514359,2.024012871,2.024607835,0.094961612,18.15483997,1.18E-73,1.25E-72
C52E4.2,183.7176851,0.111961009,0.112049882,0.155835176,0,1,1
C52E4.3,826.4390164,-2.315426727,-2.316740166,0.13187992,-15.28228649,1.00E-52,7.19E-52
C52E4.4,2063.098072,-1.18035791,-1.180681652,0.091660876,-9.604511168,7.65E-22,2.76E-21
F44C4.3,6479.942107,1.851660697,1.852102138,0.085486747,18.15089187,1.26E-73,1.34E-72
C52E4.6,740.2640748,-0.631871612,-0.632072743,0.09880916,-3.358713,0.000783063,0.00129035
C52E4.7,5.892474279,1.264341209,1.319097499,1.093585011,0.881816411,0.377876096,0.432088943
C52G5.2,15.27837403,-6.350278582,-6.690844164,1.217573706,-4.96912717,6.73E-07,1.39E-06
C53A3.1,6.839197969,0.132547849,0.135175291,0.769530625,0,1,1
T05E12.6,2301.441222,2.239426592,2.240262317,0.106927182,18.13782564,1.60E-73,1.69E-72
F22D6.12,213.1548529,4.413942747,4.421412847,0.226877483,18.13288252,1.75E-73,1.85E-72
C53A5.13,30.44446869,-3.009412524,-3.036398462,0.519530646,-5.215115883,1.84E-07,3.92E-07
C53A5.16,70.90884156,-2.338348484,-2.347939822,0.354879236,-5.743780635,9.26E-09,2.13E-08
C53A5.17,129.8491384,-1.099436168,-1.101763378,0.253933019,-3.148216691,0.001642699,0.002626647
C53A5.2,5.048505048,1.402619056,1.44791276,0.963553539,1.144325677,0.252488598,0.29892566
C53A5.3,966.2922358,-1.981251415,-1.982402567,0.133405126,-12.60259978,2.04E-36,1.05E-35
C53A5.4,2.21455653,-1.837526252,-1.997575108,1.55577179,-0.988272356,0.32301928,0.37460598
C53A5.5,3.292685655,-3.212677359,-3.43894373,1.400925148,-2.07910991,0.037607249,0.051537973
C53A5.6,534.9213058,-1.774490762,-1.775559336,0.135540876,-10.87856892,1.46E-27,6.07E-27
F26D12.1,678.3654379,3.380932985,3.384117659,0.169929455,18.13065892,1.83E-73,1.92E-72
C53B4.4,1049.313898,-1.442961305,-1.443773139,0.131153159,-8.714706652,2.92E-18,9.54E-18
C53B4.5,10101.77124,-6.759782685,-6.764658243,0.148510831,-43.49704759,0,0
C53B4.6,68.69495628,-1.265396456,-1.26901688,0.295644038,-3.265401404,0.001093091,0.001777717
Y34F4.5,332.1540251,3.764889667,3.769367178,0.191122902,18.12911813,1.88E-73,1.98E-72
C53B4.8,3.282312779,2.686308274,2.828577147,1.202157253,1.985021733,0.047142054,0.063710956
C53B7.1,33.66136131,-4.335281472,-4.401659311,0.672029395,-6.004620487,1.92E-09,4.55E-09
C53B7.2,48.83296601,-7.083514947,-7.40278932,1.109685738,-6.113005434,9.78E-10,2.35E-09
C53B7.3,85.22918048,-3.212861118,-3.641719851,1.782956504,-1.633725282,0.102316547,0.13084138
Y73B6BR.1,593.0590315,4.121522548,4.127529322,0.210828804,18.12618806,1.98E-73,2.08E-72
C53B7.7,6.97561409,-5.23573106,-5.562663036,1.303922615,-3.785294469,0.000153527,0.000268988
C53C11.1,2.999611573,-0.162799935,-0.170252328,1.142606499,0,1,1
R52.9,246.2556134,6.608813964,6.635114954,0.349222636,18.06530651,5.98E-73,6.26E-72
C53C11.3,16.17957295,-4.277129551,-4.416241737,0.968963932,-4.104517638,4.05E-05,7.43E-05
Y75B8A.29,616.6830519,3.384532363,3.387765294,0.170823121,18.05687863,6.97E-73,7.29E-72
C53C7.1,3.268085224,-4.10347563,-4.461539072,1.508871939,-2.520741178,0.011710795,0.01709386
C53C9.2,141.6626475,-3.573134656,-4.104460005,1.853245552,-1.766163503,0.077368422,0.101019836
C53C9.3,2.927835406,-3.831897926,-4.318914538,1.765436232,-2.000580855,0.045437578,0.061574328
C53D5.1,99.30097238,-2.147038577,-2.152320444,0.27443345,-6.730369695,1.69E-11,4.40E-11
B0464.3,1158.950377,2.995713121,2.997895273,0.149359921,18.04843696,8.12E-73,8.48E-72
C53D5.3,3.749300115,2.662517824,2.809633366,1.236182927,1.911139341,0.055986677,0.074859463
C53D5.4,111.6156109,-0.234204242,-0.234504737,0.197877916,0,1,1
F35E12.7,290.1458694,6.043859795,6.064337724,0.319497381,17.97779931,2.91E-72,3.01E-71
C53D5.6,3474.24643,-2.393633032,-2.394316474,0.09363205,-22.36021785,9.60E-111,1.80E-109
F40F9.2,804.8073799,4.639746289,4.64861189,0.24155224,17.9660776,3.59E-72,3.72E-71
C53D6.2,8.233484123,-4.49956722,-4.788061669,1.27520981,-3.293236287,0.000990412,0.001617095
K10B3.7,8864.352465,2.720618175,2.72223352,0.134853545,17.94997811,4.80E-72,4.96E-71
C53D6.4,192.752009,-1.615427361,-1.617290035,0.18776349,-7.005767543,2.46E-12,6.60E-12
C53D6.6,78.40129612,0.678243413,0.679847101,0.26886688,1.406805529,0.159485063,0.197265381
C53D6.7,30.21232219,-7.305779363,-7.675808054,1.186437182,-5.904888576,3.53E-09,8.28E-09
ZK1193.2,992.1419529,3.309776745,3.312812634,0.167678289,17.94971055,4.82E-72,4.98E-71
C53H9.2,1048.167245,-1.725700488,-1.726213441,0.095489009,-14.93051922,2.09E-50,1.43E-49
C53H9.3,78.77350947,-0.24759024,-0.2481321,0.258068269,0,1,1
C54A12.1,10.60522622,-4.04566164,-4.222457263,1.070953756,-3.497500822,0.000469639,0.000789816
K07G5.5,216.6385579,3.783878095,3.788552943,0.194123764,17.94668527,5.09E-72,5.26E-71
C54A12.4,6.789389932,-1.248159221,-1.277354756,0.829743808,-1.142713223,0.253157678,0.299605315
T03E6.8,190.0938732,4.268241348,4.275058199,0.221134125,17.9449524,5.26E-72,5.42E-71
C54C6.2,160.3823974,-2.850491889,-2.855726175,0.236876823,-10.76716519,4.92E-27,2.02E-26
C54C6.6,74.88821401,-2.549748446,-2.559441547,0.342194875,-6.574465631,4.88E-11,1.25E-10
F08H9.7,1114.957315,3.641598791,3.64573231,0.186240721,17.9423639,5.51E-72,5.67E-71
C54D1.1,10.4586605,-5.812689002,-6.147959952,1.258388044,-4.380754434,1.18E-05,2.25E-05
F46G10.4,234.999092,3.582059388,3.585978041,0.182985501,17.9361718,6.16E-72,6.34E-71
F54E7.7,298.7638208,3.408646537,3.411996898,0.17332629,17.93522804,6.26E-72,6.44E-71
C54D1.4,91.48950213,-3.095772854,-3.112960451,0.414714848,-6.741434188,1.57E-11,4.09E-11
C54D1.5,445.9773936,-1.528414373,-1.529319359,0.134615784,-9.125336867,7.15E-20,2.45E-19
C54D10.1,688.7163644,5.08906633,5.101001194,0.267070235,17.93186099,6.65E-72,6.84E-71
C54D1.7,3.88838702,-4.355456671,-4.713340004,1.470631302,-2.757629779,0.00582221,0.008790467
T01G6.8,215.1202276,4.436683681,4.444402241,0.230718503,17.92957056,6.93E-72,7.12E-71
C54D10.10,2.327127252,0.373525425,0.405333884,1.469662268,0.05002879,0.960099446,1
F11A6.1,900.0347878,3.918311397,3.923530336,0.201843541,17.92631751,7.35E-72,7.55E-71
F38A5.3,775.7866651,4.710718624,4.720080867,0.246137027,17.91976882,8.27E-72,8.48E-71
C37F5.1,339.8124825,3.610591663,3.614635715,0.184787997,17.91562072,8.91E-72,9.13E-71
C54D10.3,97.0015406,-1.444971962,-1.626588088,1.744353997,-0.656387387,NA,NA
C54D10.5,1.7147683,0.213156861,0.237330292,1.683267367,0,1,1
M02F4.7,540.8137406,3.698689339,3.703039657,0.189739541,17.91239362,9.44E-72,9.66E-71
C50F7.10,339.2303274,3.223657923,3.226461121,0.163269978,17.90689238,1.04E-71,1.07E-70
C54D2.2,1.272363035,-1.74491627,-1.930959882,1.688222873,-0.855880046,0.392064133,0.447074946
C54D2.4,9.944256572,-2.236756157,-2.282943216,0.784818985,-2.467774345,0.0135956,0.019689991
C54D2.5,88.85880064,0.545195235,0.547194678,0.334890833,0.732164666,0.464068068,0.522546428
C54E10.2,2.003112551,-2.429985679,-2.668753427,1.630886978,-1.306028993,0.191542698,0.233063747
C52B9.2,241.109736,4.283684213,4.290650667,0.222522681,17.90237377,1.13E-71,1.15E-70
C54E10.6,9.742846785,-0.377984806,-0.382955512,0.628809105,-0.124019843,0.901299564,0.963687997
C54E4.2,222.6187513,-7.331206664,-7.43571182,0.642672913,-10.94056794,7.37E-28,3.09E-27
C54E4.4,2.135747305,-1.77653208,-1.940087025,1.592846487,-0.926977014,0.353938469,0.407099633
C54E4.5,31.87791908,-7.377064746,-7.750650548,1.186310704,-5.965608103,2.44E-09,5.76E-09
C54F6.13,18.40574955,-4.423510398,-4.550300973,0.90298237,-4.566545854,4.96E-06,9.65E-06
C34C12.4,883.9113142,2.789228241,2.790991974,0.139094474,17.89595349,1.27E-71,1.29E-70
C54G10.1,2.381978052,2.541644137,2.736891699,1.412630348,1.586858261,0.11254475,0.143035513
C54G10.2,1210.64593,-4.661960837,-4.664808002,0.136756565,-31.89580588,3.05E-223,1.91E-221
C54G10.3,537.5539507,-1.368790295,-1.369466021,0.123000519,-8.689315363,3.65E-18,1.19E-17
C54G10.4,13.43354934,-6.155958846,-6.502931496,1.245149656,-4.703016072,2.56E-06,5.08E-06
H25K10.1,182.3749558,5.631153361,5.647564276,0.29833538,17.86966521,2.03E-71,2.07E-70
C54G4.2,2.002296399,-1.168741172,-1.438232614,2.122014952,-0.409394463,0.682250202,0.746253096
C54G4.3,1.852653114,-2.278536883,-2.530297122,1.712186181,-1.155561764,0.247860455,0.293879487
C54G4.4,1.68897946,-3.129355821,-3.516250032,1.743002723,-1.62326529,0.104532706,0.133498265
C54G4.6,44.63132101,-1.817299015,-1.824576067,0.348450718,-4.354414946,1.33E-05,2.53E-05
F49E12.2,4546.713932,4.44993674,4.457782516,0.232234262,17.86961453,2.03E-71,2.07E-70
Y105C5B.28,9172.570033,4.16541347,4.17179525,0.216395882,17.86269422,2.30E-71,2.34E-70
C54G4.9,118.6527506,-2.742877879,-2.749292796,0.266297748,-9.173483054,4.58E-20,1.58E-19
C54G6.1,74.31937691,-3.807192712,-3.828149893,0.407551125,-8.605528232,7.60E-18,2.46E-17
C54G6.2,1.792484495,-1.509881736,-1.666678002,1.67914472,-0.720534521,0.471195953,0.529912188
F42G2.4,217.1798745,5.352775969,5.366906584,0.282946365,17.85771651,2.52E-71,2.56E-70
Y39B6A.19,236.383014,4.438372142,4.446154804,0.231911334,17.84463085,3.18E-71,3.23E-70
C54G7.3,3.87110714,-4.371831726,-4.717025642,1.446364996,-2.815217277,0.004874427,0.007426964
C54G7.4,8.602490179,-5.533590036,-5.86268591,1.27566895,-4.10262399,4.08E-05,7.49E-05
C54H2.1,55.34309512,-1.417691922,-1.423262488,0.344504577,-3.244345644,0.001177208,0.00190808
C54H2.3,117.4576015,-2.690424409,-2.700145822,0.33431556,-7.150203858,8.66E-13,2.37E-12
C42C1.7,250.3506402,3.63971337,3.643881814,0.187396362,17.8216553,4.80E-71,4.86E-70
C55A6.1,311.9553902,-2.754631569,-2.757392169,0.175201467,-14.01033685,1.35E-44,8.12E-44
C55A6.10,195.9425416,-1.218068748,-1.21944409,0.185775662,-4.941813896,7.74E-07,1.59E-06
Y48A6B.7,478.1400215,3.750644425,3.755250119,0.193731669,17.81146284,5.76E-71,5.83E-70
Y57G11C.22,222.6802478,3.678469178,3.682813181,0.189703808,17.80917958,6.00E-71,6.06E-70
C55A6.2,521.6560174,-1.521827994,-1.522525278,0.118575089,-10.30425534,6.74E-25,2.63E-24
