Gene,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
B0035.6,462.4925353,-4.129427144,-4.134056579,0.185573586,-20.63562611,1.31E-94,1.92E-93
B0035.7,13.14136409,-2.817216137,-2.871212553,0.744407255,-3.381504036,0.000720902,0.001191449
B0035.8,24.30099342,-3.046886035,-3.080313366,0.571789785,-4.804013828,1.56E-06,3.13E-06
B0035.9,8.908794852,-5.55753237,-5.918605976,1.327483217,-3.960526433,7.48E-05,0.000134633
B0041.11,27.7261891,-5.494047913,-5.702668959,1.00879954,-5.148741356,2.62E-07,5.55E-07
B0041.2,1097.139362,-0.331809056,-0.331991657,0.129735022,-0.245184808,0.806313339,0.869975989
B0041.3,28.91652847,-0.690157047,-0.695375296,0.480722376,-0.811605754,0.417017888,0.473662081
C42D4.1,20674.8597,5.225770471,5.227764682,0.108159651,45.54166394,0,0
B0041.5,499.6877074,-0.104720072,-0.104773648,0.125239979,0,1,1
C42D8.2,922256.8466,3.496544485,3.497092346,0.069312625,46.11778121,0,0
B0041.7,1034.942824,-1.132729786,-1.133109017,0.101325737,-8.218344237,2.06E-16,6.39E-16
B0041.8,344.6328366,-3.72832044,-3.735294255,0.240375665,-14.26234407,3.76E-46,2.34E-45
B0047.1,2.267511115,-0.983463816,-1.051432107,1.364050928,-0.501054471,0.616332788,0.679291008
B0047.2,3.98165024,-3.496890838,-3.727943904,1.358336597,-2.353533612,0.018595927,0.026512169
B0047.3,14.13924535,-6.233137721,-6.577367449,1.23376728,-4.808960182,1.52E-06,3.06E-06
B0198.1,7.20608194,-5.279927508,-5.612698962,1.309534494,-3.802822707,0.000143057,0.000251314
B0198.2,5.120679292,-1.280871808,-1.328669112,1.012674651,-0.968595202,0.332747198,0.385022729
B0198.3,6.659803165,-5.166615011,-5.497989158,1.319734192,-3.687572119,0.000226404,0.000391315
B0205.1,313.7127724,-4.236430514,-4.244181101,0.235976281,-16.68146686,1.79E-62,1.56E-61
B0205.10,8.965964682,-5.323644424,-5.919336428,1.677496052,-2.994728016,0.002746897,0.00429301
B0205.11,314.5427021,-0.384492993,-0.384773306,0.149581204,-0.564863706,0.572166471,0.633996233
B0205.12,34.67581786,-0.155760601,-0.156412718,0.357042719,0,1,1
C49C3.4,6244.403451,4.035361069,4.036497152,0.092876067,40.21876866,0,0
B0205.3,1108.90787,-0.870658715,-0.870933564,0.098339654,-5.802935978,6.52E-09,1.51E-08
B0205.6,319.6831472,-0.108149957,-0.108230822,0.151497774,0,1,1
B0205.7,2216.542566,0.268879392,0.268955369,0.093129307,0,1,1
B0205.8,123.3051615,-1.282780417,-1.285211411,0.241578761,-4.068157365,4.74E-05,8.64E-05
B0205.9,318.6900216,-2.540281545,-2.543067922,0.1831798,-12.22995954,2.15E-34,1.05E-33
B0207.11,1.480003669,-2.808209617,-3.313718646,2.006726612,-1.249901009,0.211335711,0.25449706
B0207.12,9.712952774,-5.70478259,-6.037855565,1.265147331,-4.272057853,1.94E-05,3.63E-05
B0207.4,312.4235055,-7.80848022,-7.915807381,0.628528111,-11.94613271,6.80E-33,3.23E-32
B0207.5,3.53976398,-4.238322092,-4.589188592,1.476414156,-2.66749142,0.007641984,0.011399897
B0207.6,110.5005477,-4.301724328,-4.321778298,0.378045289,-10.58530405,3.49E-26,1.41E-25
B0212.1,4.007590998,-3.336739513,-3.647411437,1.47944808,-2.052616482,0.040109788,0.054770241
B0212.3,81.8857751,-2.184636805,-2.190268695,0.280061204,-6.729374783,1.70E-11,4.43E-11
C52A10.1,1288.996327,4.979414066,4.981699492,0.118499337,39.4889473,0,0
B0212.5,2.622422225,-0.983946905,-1.04561553,1.285323452,-0.532120459,0.594642569,0.656987793
B0213.10,3.145323811,-0.749010698,-0.789832004,1.234862807,-0.363611808,0.716147908,0.780264857
B0213.11,2.625269502,-1.378600487,-1.461667397,1.292446062,-0.834541973,0.403975645,0.45982364
D2023.2,13526.59874,2.968562645,2.968851344,0.054611172,48.86477545,0,0
F08A8.4,1615.182969,4.146230555,4.147480577,0.09606393,40.0382387,0,0
F10F2.2,3197.748458,4.555919529,4.557019163,0.085967527,49.50612947,0,0
B0213.17,4.625081341,-4.356408299,-4.963217172,1.829566048,-2.217142313,0.026613368,0.037162593
B0213.2,93.13680074,-7.253190473,-7.494940512,0.943465099,-7.369843869,1.71E-13,4.79E-13
B0213.3,34.37129711,-6.525135298,-6.8899135,1.200147511,-5.186975135,2.14E-07,4.54E-07
B0213.4,23.82054461,-6.93759733,-7.331307191,1.249131595,-5.313769468,1.07E-07,2.32E-07
B0213.5,1.494336715,-2.92699052,-3.331887714,1.820044847,-1.443365818,0.148917448,0.185336013
B0213.6,14.85864924,-6.304663358,-6.649229867,1.227976726,-4.889883684,1.01E-06,2.06E-06
B0218.1,85.80628797,-1.900529993,-1.905354518,0.27801444,-5.757003091,8.56E-09,1.97E-08
F12B6.2,2813.928464,5.106885132,5.108405014,0.095593197,50.28480362,0,0
F13H6.3,4926.602748,5.79618957,5.799008046,0.121983523,45.05681939,0,0
B0218.5,5.063671161,1.749424946,1.802152583,0.928226287,1.561499568,0.118405926,0.149931063
F14F4.3,4932.702107,2.985543866,2.985910305,0.061345867,43.77709501,0,0
B0218.7,10.76104223,-0.677011261,-0.704056025,1.062500985,-0.354833799,0.722714106,0.78682233
F15E11.12,7195.48748,9.756630849,9.77454504,0.23775929,39.77396991,0,0
B0222.11,2.02989503,-3.398112665,-3.790958361,1.698378353,-1.824159299,0.068127993,0.089798024
B0222.3,7.806816643,-3.148540073,-3.265596909,1.02824397,-2.770295917,0.005600538,0.008475255
F19H8.1,6037.777044,5.227507258,5.230063322,0.122302683,40.28944528,0,0
B0222.5,48.91005681,-6.358569108,-6.57899286,0.97420213,-6.219006224,5.00E-10,1.22E-09
B0222.6,44.85831689,-7.845853856,-8.243887415,1.187286571,-6.355545526,2.08E-10,5.16E-10
B0222.7,6.920644163,-5.189317607,-5.543864818,1.35673949,-3.603726172,0.000313688,0.000535517
B0222.8,45.0631909,-6.958249706,-7.283869043,1.13276476,-5.877875035,4.16E-09,9.71E-09
F21F8.3,23537.62696,4.173362139,4.174443943,0.089130258,43.45732015,0,0
B0228.1,10.93435652,-4.151558295,-4.330225937,1.072480393,-3.591262201,0.00032908,0.000560604
B0228.4,365.3995787,-6.970219824,-7.019420385,0.460466484,-14.48578791,1.49E-47,9.57E-47
B0228.6,5.288664762,-3.18937503,-3.380539087,1.312938741,-2.200692948,0.027757768,0.03869654
F23B2.12,1260.172755,4.744231825,4.746261793,0.114551673,38.79674293,0,0
F27E5.1,2457.419299,5.595776011,5.598013411,0.110751531,47.81672945,0,0
F28B4.3,15950.53877,4.334695988,4.336200403,0.103124724,39.12442927,0,0
B0238.11,470.9630501,-4.391119522,-4.396510252,0.19357595,-21.13444118,3.84E-99,6.06E-98
B0238.12,4.115867449,-4.403105553,-4.797605095,1.526657373,-2.687640086,0.007195891,0.01077223
F35C5.8,9884.613383,6.489012491,6.494053599,0.154271609,40.11763753,0,0
B0238.9,477.7132796,-6.434656637,-6.458000857,0.331564489,-18.50215218,1.98E-76,2.20E-75
B0240.1,6.820368448,-5.177438017,-5.525428072,1.347103026,-3.620686706,0.000293822,0.00050291
B0240.4,676.3353062,-5.400455778,-5.408659479,0.215751085,-23.64046405,1.48E-123,3.28E-122
F35C8.5,1852.812069,4.919022276,4.920828268,0.105957986,43.5929605,0,0
F40F12.7,1501.178994,5.649335651,5.652669495,0.134458142,39.78439378,0,0
B0244.2,73.85482303,-6.938060714,-7.178980538,0.97262578,-6.824886661,8.80E-12,2.31E-11
B0244.4,2.075282761,-1.539798474,-1.654863798,1.437970041,-0.862186582,0.388584852,0.443422241
F53B2.8,6251.768269,8.456319165,8.463063946,0.155862616,52.33018266,0,0
F54D5.3,7244.779212,4.825152982,4.827329217,0.117546786,38.49661175,0,0
F54D5.4,7510.135909,5.901075175,5.905342065,0.148685052,37.67073491,0,0
B0244.8,2782.185694,-7.030831374,-7.03844666,0.182024134,-36.97768663,2.62E-299,2.98E-297
F54E2.1,2883.433004,4.752827343,4.754082157,0.089952439,49.50201876,0,0
B0250.2,3.602047331,-1.034311418,-1.091123539,1.239586159,-0.592384331,0.553593256,0.61492404
F56F10.1,3119.146105,4.376087343,4.377742284,0.107593389,37.88418009,0,0
B0250.9,6.409117619,-0.453895406,-0.464437524,0.828279238,-0.185801357,0.85260054,0.915749098
F56H11.4,11331.0684,3.315255455,3.31570552,0.06451988,46.73374226,0,0
B0252.2,49.53650584,-0.380413783,-0.382687468,0.427454987,-0.188122223,0.85078084,0.91399832
F59D8.1,449504.3893,3.541497842,3.542034454,0.068160925,47.55654108,0,0
B0252.4,128.9993541,-5.104584719,-5.134438506,0.420138776,-11.43570884,2.77E-30,1.23E-29
B0252.5,14.74325907,1.887617727,1.942638377,0.914097161,1.736815073,0.082419818,0.107093172
B0252.8,1.87763681,-3.284648446,-3.67072825,1.708500271,-1.746940575,0.080647647,0.105007536
B0261.1,687.7939949,-0.750589228,-0.750917373,0.11575866,-3.892488277,9.92E-05,0.000176777
B0261.2,2124.796697,0.293629549,0.293780131,0.125376569,0,1,1
B0261.4,303.8441074,-0.317467885,-0.31769727,0.148788033,-0.117401144,0.906542178,0.969006861
F59D8.2,463337.8662,3.580360128,3.580721523,0.05563504,58.96212396,0,0
B0261.6,7.984133311,-2.411366369,-2.577073356,1.336192916,-1.58013588,0.114075752,0.14479038
B0261.7,657.4370281,-3.706619312,-3.711862777,0.207965053,-16.38072969,2.63E-60,2.21E-59
B0261.8,50.20252754,-1.131518442,-1.135208263,0.31560526,-2.634678657,0.008421697,0.01250497
B0272.1,3.642331915,-2.418559294,-2.572379262,1.27687471,-1.659175546,0.097080424,0.124652644
B0272.2,54.2237208,-1.506822611,-1.5114161,0.304850411,-3.958737034,7.53E-05,0.000135612
H34I24.2,14490.96412,6.019261532,6.022007372,0.118176595,48.39589034,0,0
JC8.14,7769.986212,5.766179413,5.768093747,0.100782228,54.23753308,0,0
B0273.1,5.497343047,-4.755273131,-5.212151024,1.572731858,-2.832824367,0.004613873,0.007048539
B0273.2,778.5539119,-6.935264077,-6.957683204,0.311775203,-21.28220593,1.66E-100,2.66E-99
B0273.3,39.16886545,-6.76644768,-7.080943426,1.129023109,-5.727471498,1.02E-08,2.33E-08
B0273.4,36.70101188,-1.855510095,-1.865796435,0.410239179,-3.791715115,0.00014961,0.000262317
B0280.1,405.5995926,0.417485757,0.417917686,0.177974527,0.66012681,0.509172455,0.569211734
B0280.10,88.12357462,-2.415907701,-2.422079074,0.280006615,-7.5566347,4.14E-14,1.19E-13
B0280.11,6.961934249,2.048150684,2.191640198,1.366601862,1.279195304,0.200828289,0.243323171
K02D7.1,2059.651942,3.936389246,3.937560075,0.09552772,38.06632498,0,0
K02D7.4,3381.441797,3.807120016,3.808044224,0.086287606,40.6445394,0,0
B0280.17,19.22387185,-0.142759062,-0.144841362,0.657493954,0,1,1
K02F3.4,4568.721419,4.23520015,4.236480709,0.096226004,40.89539207,0,0
K03A1.2,5928.634953,3.911161373,3.912106432,0.086052559,41.96460183,0,0
K04D7.3,7522.116376,3.045297186,3.0457215,0.065358823,42.00346704,0,0
B0280.5,10392.0651,-8.473438358,-8.481718121,0.172809321,-47.29743909,0,0
K07H8.6,1134674.656,3.439187794,3.439816567,0.074869455,41.9288183,0,0
B0280.9,326.4798261,-3.376164962,-3.386248803,0.30275591,-10.16054472,2.97E-24,1.14E-23
K09D9.2,14257.67334,7.599050502,7.604274554,0.14514683,50.28735733,0,0
K12H4.7,17359.89467,4.616040125,4.617372441,0.094045438,45.89313659,0,0
B0281.4,3.881279145,-4.342209931,-4.724478413,1.516399699,-2.665662578,0.007683677,0.011459728
