btb-10,0.318928134938428,4.60361832584015,-2.81813000900987
C01G8.6,0.325311130320046,4.45243331718709,-2.56165507918658
F09C8.2,0.228287484853713,4.27839411129483,-2.88681046755027
F44F1.4,0.177549168821579,4.59383704391244,-2.40479149766315
F55A3.2,0.354610667570819,4.42662965176471,-2.38312535624869
F58G1.7,0.395680408012754,4.60120949152124,-2.44684378006341
fbxa-153,0.427654259035969,4.54305410902681,-2.75793839512936
hmt-1,0.234559320919702,4.34650757438508,-2.47569667789137
lfe-2,0.299094958638111,4.36282735434296,-2.42146773126002
R11D1.13,0.233643264680098,4.5298200539652,-2.54347883517091
Y38C1AA.14,0.345993488566271,4.40212087568236,-3.02488537414265
Y47A7.1,0.175855074110643,4.48523983858883,-2.85356136221187
Y53G8AR.9,0.138529292733586,4.4527627744577,-2.98844990829035
